POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
,Marcus Stoinis,,,,,,,,,,,,
60,,12,11,0,85,32,7.72,76,111.84,0,0,3,5
,Nicholas Pooran,,,,,,,,,,,,
61,,8,7,1,85,47*,14.16,72,118.05,0,0,2,6
,Jason Holder,,,,,,,,,,,,
62,,14,10,2,83,22,10.37,69,120.28,0,0,9,2
,Rashid Khan,,,,,,,,,,,,
63,,5,5,0,72,29,14.4,74,97.29,0,0,2,3
,Priyam Garg,,,,,,,,,,,,
64,,4,4,0,71,31,17.75,62,114.51,0,0,3,3
,Rajat Patidar,,,,,,,,,,,,
65,,7,5,3,68,22*,34,73,93.15,0,0,7,0
,Lalit Yadav,,,,,,,,,,,,
66,,11,7,2,67,36*,13.4,49,136.73,0,0,2,5
,Chris Morris,,,,,,,,,,,,
67,,9,7,3,65,16*,16.25,55,118.18,0,0,5,3
,Kyle Jamieson,,,,,,,,,,,,
68,,7,5,5,64,25*,0,58,110.34,0,0,3,2
,Harpreet Brar,,,,,,,,,,,,
69,,14,10,2,62,26,7.75,47,131.91,0,0,3,5
,Sunil Narine,,,,,,,,,,,,
70,,11,7,0,59,14,8.42,53,111.32,0,0,4,2
,Shahbaz Ahmed,,,,,,,,,,,,
71,,15,8,4,59,31,14.75,46,128.26,0,0,6,2
,Harshal Patel,,,,,,,,,,,,
72,,7,5,0,58,28,11.6,52,111.53,0,0,1,3
,Vijay Shankar,,,,,,,,,,,,
73,,9,4,1,56,34,18.66,29,193.1,0,0,5,3
,Sam Curran,,,,,,,,,,,,
74,,6,5,1,55,19,13.75,52,105.76,0,0,2,2
,Kedar Jadhav,,,,,,,,,,,,
75,,1,1,0,49,49,49,35,140,0,0,4,3
,Chris Lynn,,,,,,,,,,,,
76,,8,6,1,47,26,9.4,48,97.91,0,0,3,1
,Shakib Al Hasan,,,,,,,,,,,,
77,,11,3,2,47,23,47,18,261.11,0,0,3,4
,Dwayne Bravo,,,,,,,,,,,,
78,,13,5,2,44,20*,14.66,42,104.76,0,0,2,1
,Ravichandran Ashwin,,,,,,,,,,,,
79,,4,4,0,42,14,10.5,39,107.69,0,0,5,2
,Manan Vohra,,,,,,,,,,,,
80,,5,5,0,42,25,8.4,41,102.43,0,0,3,1
,Liam Livingstone,,,,,,,,,,,,
